id,name,description,category,address,suburb,state,postcode,latitude,longitude,phone,email,website,hours,eligibility,cost,source_id,source_name,source_organisation,source_jurisdiction,source_license,source_url,source_date,quality,location_precision
vic_casey_libraries_0000,Berwick Mechanics Institute,Library,community,15 High Street,,VIC,3806,-38.02502,145.34949,,,,,,Free,vic_casey_libraries,Libraries Locations,City of Casey,VIC,Other (Open),https://discover.data.vic.gov.au/dataset/libraries-locations,2026-04-19,partial,postcode
vic_casey_libraries_0001,Endeavour Hills Library,Library,community,Raymond McMahon Boulevard,,VIC,3802,-37.97176,145.25560,,,,,,Free,vic_casey_libraries,Libraries Locations,City of Casey,VIC,Other (Open),https://discover.data.vic.gov.au/dataset/libraries-locations,2026-04-19,partial,postcode
vic_casey_libraries_0002,Bunjil Place Library,Library,community,2 Patrick Northeast Drive,,VIC,3805,-38.03703,145.30420,,,,,,Free,vic_casey_libraries,Libraries Locations,City of Casey,VIC,Other (Open),https://discover.data.vic.gov.au/dataset/libraries-locations,2026-04-19,partial,postcode
vic_casey_libraries_0003,Cranbourne West Library Lounge,Library,community,4s Flicka Boulevard,,VIC,3977,-38.13177,145.26392,,,,,,Free,vic_casey_libraries,Libraries Locations,City of Casey,VIC,Other (Open),https://discover.data.vic.gov.au/dataset/libraries-locations,2026-04-19,partial,postcode
vic_casey_libraries_0004,Hampton Park Library,Library,community,25 Stuart Ave,,VIC,3976,-38.04400,145.26430,,,,,,Free,vic_casey_libraries,Libraries Locations,City of Casey,VIC,Other (Open),https://discover.data.vic.gov.au/dataset/libraries-locations,2026-04-19,partial,postcode
vic_casey_libraries_0005,Cranbourne Library,Library,community,"Casey Complex, 65 Berwick-Cranbourne Road",,VIC,3977,-38.13177,145.26392,,,,,,Free,vic_casey_libraries,Libraries Locations,City of Casey,VIC,Other (Open),https://discover.data.vic.gov.au/dataset/libraries-locations,2026-04-19,partial,postcode
vic_casey_libraries_0006,Doveton Library,Library,community,Autumn Place,,VIC,3177,-37.99099,145.23746,,,,,,Free,vic_casey_libraries,Libraries Locations,City of Casey,VIC,Other (Open),https://discover.data.vic.gov.au/dataset/libraries-locations,2026-04-19,partial,postcode
