id,name,description,category,address,suburb,state,postcode,latitude,longitude,phone,email,website,hours,eligibility,cost,source_id,source_name,source_organisation,source_jurisdiction,source_license,source_url,source_date,quality
vic_casey_maternal_health_0015,Doveton College,"The Maternal and Child Health Service supports families and their children in the areas of parenting, development and assessment.",health,62 Tristania Street,,VIC,,-37.99069100127475,145.24405402722192,,,,,,Free,vic_casey_maternal_health,Family Maternal Child Health Centre Locations,City of Casey,VIC,Other (Open),https://discover.data.vic.gov.au/dataset/family-maternal-child-health-centre-locations,2026-04-19,partial
vic_casey_maternal_health_0016,Lynbrook Family and Children's Centre,"The Maternal and Child Health Service supports families and their children in the areas of parenting, development and assessment.",health,25 River Redgum Place,,VIC,,-38.05442700111325,145.2497559945742,,,,,,Free,vic_casey_maternal_health,Family Maternal Child Health Centre Locations,City of Casey,VIC,Other (Open),https://discover.data.vic.gov.au/dataset/family-maternal-child-health-centre-locations,2026-04-19,partial
vic_casey_maternal_health_0017,Selandra Family and Children's Centre,"The Maternal and Child Health Service supports families and their children in the areas of parenting, development and assessment.",health,45 Haflinger Avenue,,VIC,,-38.10786100350657,145.32072999849998,,,,,,Free,vic_casey_maternal_health,Family Maternal Child Health Centre Locations,City of Casey,VIC,Other (Open),https://discover.data.vic.gov.au/dataset/family-maternal-child-health-centre-locations,2026-04-19,partial
vic_casey_maternal_health_0018,Arbourlea Family and Community Centre,"The Maternal and Child Health Service supports families and their children in the areas of parenting, development and assessment.",health,75S Wheelers Park Drive,,VIC,,-38.08244400484288,145.3266980296413,,,,,,Free,vic_casey_maternal_health,Family Maternal Child Health Centre Locations,City of Casey,VIC,Other (Open),https://discover.data.vic.gov.au/dataset/family-maternal-child-health-centre-locations,2026-04-19,partial
vic_casey_maternal_health_0019,Livingston Maternal and Child Health Centre,"The Maternal and Child Health Service supports families and their children in the areas of parenting, development and assessment.",health,31S Parkhurst Drive,,VIC,,-38.12066000541232,145.2959150241298,,,,,,Free,vic_casey_maternal_health,Family Maternal Child Health Centre Locations,City of Casey,VIC,Other (Open),https://discover.data.vic.gov.au/dataset/family-maternal-child-health-centre-locations,2026-04-19,partial
vic_casey_maternal_health_0020,Autumn Place Maternal and Child Health,"The Maternal and Child Health Service supports families and their children in the areas of parenting, development and assessment.",health,29 Autumn Place,,VIC,,-37.99479900164234,145.23924601845152,,,,,,Free,vic_casey_maternal_health,Family Maternal Child Health Centre Locations,City of Casey,VIC,Other (Open),https://discover.data.vic.gov.au/dataset/family-maternal-child-health-centre-locations,2026-04-19,partial
vic_casey_maternal_health_0021,Strong Drive Maternal and Child Health Centre,"The Maternal and Child Health Service supports families and their children in the areas of parenting, development and assessment.",health,101 Strong Drive,,VIC,,-38.03343200264849,145.27732001888464,,,,,,Free,vic_casey_maternal_health,Family Maternal Child Health Centre Locations,City of Casey,VIC,Other (Open),https://discover.data.vic.gov.au/dataset/family-maternal-child-health-centre-locations,2026-04-19,partial
vic_casey_maternal_health_0022,Ramlegh Maternal and Child Health Centre,"The Maternal and Child Health Service supports families and their children in the areas of parenting, development and assessment.",health,80S Thoroughbred Drive,,VIC,,-38.11425000230569,145.3384060359909,,,,,,Free,vic_casey_maternal_health,Family Maternal Child Health Centre Locations,City of Casey,VIC,Other (Open),https://discover.data.vic.gov.au/dataset/family-maternal-child-health-centre-locations,2026-04-19,partial
vic_casey_maternal_health_0023,Cranbourne West Community Hub,"The Maternal and Child Health Service supports families and their children in the areas of parenting, development and assessment.",health,4 Flicka Boulevard,,VIC,,-38.10694204239935,145.2504699679202,,,,,,Free,vic_casey_maternal_health,Family Maternal Child Health Centre Locations,City of Casey,VIC,Other (Open),https://discover.data.vic.gov.au/dataset/family-maternal-child-health-centre-locations,2026-04-19,partial
vic_casey_maternal_health_0024,Maramba Maternal and Child Health Centre,"The Maternal and Child Health Service supports families and their children in the areas of parenting, development and assessment.",health,2-18 Josephine Avenue,,VIC,,-38.0040080016329,145.3029830118932,,,,,,Free,vic_casey_maternal_health,Family Maternal Child Health Centre Locations,City of Casey,VIC,Other (Open),https://discover.data.vic.gov.au/dataset/family-maternal-child-health-centre-locations,2026-04-19,partial
