id,name,description,category,address,suburb,state,postcode,latitude,longitude,phone,email,website,hours,eligibility,cost,source_id,source_name,source_organisation,source_jurisdiction,source_license,source_url,source_date,quality
vic_ballarat_early_learning_0025,Kidscape Early Learning Centre- Wendouree,Early learning centre,education,1018-1022 Grevillea Road,Wendouree,VIC,,-37.5278898263711,143.836604210474,,,https://www.kidscape.com.au/,,,Free,vic_ballarat_early_learning,Early Learning Centres,City of Ballarat,VIC,CC-BY-3.0-AU,https://discover.data.vic.gov.au/dataset/early-learning-centres,2026-04-19,complete
vic_ballarat_early_learning_0026,Vickers Street Kindergarten,Early learning centre,education,Corner of Beverin and Vickers Street,Sebastopol,VIC,,-37.5924111035884,143.837786614742,,,https://www.ballarat.vic.gov.au/city/projects/sebastopolcommunityhub,,,Free,vic_ballarat_early_learning,Early Learning Centres,City of Ballarat,VIC,CC-BY-3.0-AU,https://discover.data.vic.gov.au/dataset/early-learning-centres,2026-04-19,complete
vic_ballarat_early_learning_0027,Ballarat Child Care Cooperative,Early learning centre,education,1007 Armstrong Street North,Ballarat North,VIC,,-37.5407424,143.8598477,,,http://ballaratccc.org.au/,,,Free,vic_ballarat_early_learning,Early Learning Centres,City of Ballarat,VIC,CC-BY-3.0-AU,https://discover.data.vic.gov.au/dataset/early-learning-centres,2026-04-19,complete
vic_ballarat_early_learning_0028,Ballarat Little Learners Early Education Centre,Early learning centre,education,257 Victoria Street,Ballarat East,VIC,,-37.5581436,143.8862931,,,http://www.ballaratlittlelearners.com.au/,,,Free,vic_ballarat_early_learning,Early Learning Centres,City of Ballarat,VIC,CC-BY-3.0-AU,https://discover.data.vic.gov.au/dataset/early-learning-centres,2026-04-19,complete
vic_ballarat_early_learning_0029,Beginnings Early Learning,Early learning centre,education,2 Mia Street,Alfredton,VIC,,-37.564957,143.7834759,,,https://beginningsearlylearners.com.au/alfredton,,,Free,vic_ballarat_early_learning,Early Learning Centres,City of Ballarat,VIC,CC-BY-3.0-AU,https://discover.data.vic.gov.au/dataset/early-learning-centres,2026-04-19,complete
vic_ballarat_early_learning_0030,Jenny's ELC-Soldiers Hill,Early learning centre,education,611 Howitt Street,Soldiers Hill,VIC,,-37.543182,143.853031,,,https://www.jennyselc.com.au/childcare-centre-soldiers-hill,,,Free,vic_ballarat_early_learning,Early Learning Centres,City of Ballarat,VIC,CC-BY-3.0-AU,https://discover.data.vic.gov.au/dataset/early-learning-centres,2026-04-19,complete
vic_ballarat_early_learning_0031,Goodstart Early Learning - Alfredton,Early learning centre,education,91-93 Cuthberts Road,Alfredton,VIC,,-37.55381,143.797783,,,https://www.goodstart.org.au/,,,Free,vic_ballarat_early_learning,Early Learning Centres,City of Ballarat,VIC,CC-BY-3.0-AU,https://discover.data.vic.gov.au/dataset/early-learning-centres,2026-04-19,complete
vic_ballarat_early_learning_0032,Black Hill Kindergarten,Early learning centre,education,602 Sherrard Street,Black Hill,VIC,,-37.5484764,143.869547,,,https://ecka.org.au/,,,Free,vic_ballarat_early_learning,Early Learning Centres,City of Ballarat,VIC,CC-BY-3.0-AU,https://discover.data.vic.gov.au/dataset/early-learning-centres,2026-04-19,complete
vic_ballarat_early_learning_0033,Bonshaw Kindergarten,Early learning centre,education,234 Morgan Street,Bonshaw,VIC,,-37.6041018,143.8236698,,,https://ecka.org.au/,,,Free,vic_ballarat_early_learning,Early Learning Centres,City of Ballarat,VIC,CC-BY-3.0-AU,https://discover.data.vic.gov.au/dataset/early-learning-centres,2026-04-19,complete
vic_ballarat_early_learning_0034,Journey Early Learning Centre - Lucas,Early learning centre,education,25 Harris Drive,Lucas,VIC,,-37.5466194,143.783392,,,https://journey.edu.au/centre/lucas,,,Free,vic_ballarat_early_learning,Early Learning Centres,City of Ballarat,VIC,CC-BY-3.0-AU,https://discover.data.vic.gov.au/dataset/early-learning-centres,2026-04-19,complete
vic_ballarat_early_learning_0035,Enid Rogers Kindergarten,Early learning centre,education,2 Forest Street,Lake Wendouree,VIC,,-37.543002,143.8311033,,,https://earlylearning.unitingvictas.org.au/find-a-service/enid-rogers-jubilee-kindergarten,,,Free,vic_ballarat_early_learning,Early Learning Centres,City of Ballarat,VIC,CC-BY-3.0-AU,https://discover.data.vic.gov.au/dataset/early-learning-centres,2026-04-19,complete
vic_ballarat_early_learning_0036,Federation Children's Centre SMB Campus,Early learning centre,education,105 Lydiard Street,Ballarat Central,VIC,,-37.5647033,143.8566406,,,https://federation.edu.au/childrens-centres,,,Free,vic_ballarat_early_learning,Early Learning Centres,City of Ballarat,VIC,CC-BY-3.0-AU,https://discover.data.vic.gov.au/dataset/early-learning-centres,2026-04-19,complete
vic_ballarat_early_learning_0037,Iris Ramsay Kindergarten,Early learning centre,education,105 - 107 Lonsdale Street,Redan,VIC,,-37.5755105,143.8345634,,,https://ecka.org.au/,,,Free,vic_ballarat_early_learning,Early Learning Centres,City of Ballarat,VIC,CC-BY-3.0-AU,https://discover.data.vic.gov.au/dataset/early-learning-centres,2026-04-19,complete
