id,name,description,category,address,suburb,state,postcode,latitude,longitude,phone,email,website,hours,eligibility,cost,source_id,source_name,source_organisation,source_jurisdiction,source_license,source_url,source_date,quality,location_precision
sa_gp_plus_0000,GP Plus Health Care Centre Elizabeth,GP Plus health clinic,health,16 Playford Boulevard,Elizabeth,SA,5112,-34.71707746699997,138.67116323800008,,,,,,Free,sa_gp_plus,GP Plus Locations,SA Health,SA,CC-BY,https://data.sa.gov.au/data/dataset/gp-plus-locations,2026-04-19,partial,address
sa_gp_plus_0001,GP Plus Super Clinic Noarlunga,GP Plus health clinic,health,20 Alexander Kelly Drive,Noarlunga Centre,SA,5168,-35.13858830299995,138.50004144700006,,,,,,Free,sa_gp_plus,GP Plus Locations,SA Health,SA,CC-BY,https://data.sa.gov.au/data/dataset/gp-plus-locations,2026-04-19,partial,address
sa_gp_plus_0002,GP Plus Super Clinic Gilles Plains,GP Plus health clinic,health,1 Gilles Street,Hillcrest,SA,5086,-34.85854769599996,138.65288234600007,,,,,,Free,sa_gp_plus,GP Plus Locations,SA Health,SA,CC-BY,https://data.sa.gov.au/data/dataset/gp-plus-locations,2026-04-19,partial,address
sa_gp_plus_0003,GP Plus Health Care Centre Ceduna,GP Plus health clinic,health,3 Eyre Highway,Ceduna,SA,5690,-32.119006619999936,133.67280506800012,,,,,,Free,sa_gp_plus,GP Plus Locations,SA Health,SA,CC-BY,https://data.sa.gov.au/data/dataset/gp-plus-locations,2026-04-19,partial,address
sa_gp_plus_0004,GP Plus Health Care Centre Port Pirie,GP Plus health clinic,health,The Terrace,Port Pirie,SA,5540,-33.17718991999993,138.00456671000006,,,,,,Free,sa_gp_plus,GP Plus Locations,SA Health,SA,CC-BY,https://data.sa.gov.au/data/dataset/gp-plus-locations,2026-04-19,partial,address
sa_gp_plus_0005,GP Plus Health Care Centre Marion,GP Plus health clinic,health,10 Milham Street,Oaklands Park,SA,5046,-35.01329621999997,138.54277373700006,,,,,,Free,sa_gp_plus,GP Plus Locations,SA Health,SA,CC-BY,https://data.sa.gov.au/data/dataset/gp-plus-locations,2026-04-19,partial,address
sa_gp_plus_0006,GP Plus Super Clinic Modbury,GP Plus health clinic,health,77 Smart Road,Modbury,SA,5092,-34.83355205,138.69221375000006,,,,,,Free,sa_gp_plus,GP Plus Locations,SA Health,SA,CC-BY,https://data.sa.gov.au/data/dataset/gp-plus-locations,2026-04-19,partial,address
sa_gp_plus_0007,GP Plus Health Care Centre Aldinga,GP Plus health clinic,health,Pridham Boulevard,Aldinga Beach,SA,5173,-35.275901361999956,138.4609689680001,,,,,,Free,sa_gp_plus,GP Plus Locations,SA Health,SA,CC-BY,https://data.sa.gov.au/data/dataset/gp-plus-locations,2026-04-19,partial,address
